"main_category","sub_category"
"Atta, Rice","Atta"
"Atta, Rice","Rice"
"Atta, Rice","Flour"
"Atta, Rice","Besan"
"Atta, Rice","Suji / Maida"
"Dal & Grains","Dal"
"Dal & Grains","Chana"
"Dal & Grains","Pulses"
"Dal & Grains","Beans"
"Dal & Grains","Grains"
"Salt, Sugar & Essentials","Salt"
"Salt, Sugar & Essentials","Sugar"
"Salt, Sugar & Essentials","Jaggery"
"Salt, Sugar & Essentials","Mishri"
"Salt, Sugar & Essentials","Daily Essentials"
"Oils, Ghee & Masala","Edible Oil"
"Oils, Ghee & Masala","Refined Oil"
"Oils, Ghee & Masala","Ghee"
"Oils, Ghee & Masala","Whole Masala"
"Oils, Ghee & Masala","Powder Masala"
"Dry Fruits & Nuts","Dry Fruits"
"Dry Fruits & Nuts","Nuts"
"Dry Fruits & Nuts","Seeds"
"Dry Fruits & Nuts","Mixed Dry Fruits"
"Milk, Dairy & Bakery","Milk & Cream"
"Milk, Dairy & Bakery","Curd & Yogurt"
"Milk, Dairy & Bakery","Cheese & Paneer"
"Milk, Dairy & Bakery","Butter & Ghee"
"Milk, Dairy & Bakery","Bread & Bakery"
"Biscuits, Namkeen & Snacks","Biscuits & Cookies"
"Biscuits, Namkeen & Snacks","Namkeen"
"Biscuits, Namkeen & Snacks","Chips"
"Biscuits, Namkeen & Snacks","Snacks"
"Biscuits, Namkeen & Snacks","Instant Snacks"
"Chocolates & Icecreams","Chocolates"
"Chocolates & Icecreams","Candies"
"Chocolates & Icecreams","Ice Cream"
"Chocolates & Icecreams","Frozen Desserts"
"Sweets & Packaged Food","Sweets"
"Sweets & Packaged Food","Packaged Food"
"Sweets & Packaged Food","Ready to Eat"
"Sweets & Packaged Food","Instant Food"
"Sauces, Spreads & Ketchup","Ketchup"
"Sauces, Spreads & Ketchup","Sauces"
"Sauces, Spreads & Ketchup","Spreads"
"Sauces, Spreads & Ketchup","Jam"
"Sauces, Spreads & Ketchup","Pickles"
"Tea, Coffee & Beverages","Tea"
"Tea, Coffee & Beverages","Coffee"
"Tea, Coffee & Beverages","Cold Drinks"
"Tea, Coffee & Beverages","Juices"
"Tea, Coffee & Beverages","Health Drinks"
"Bath, Body & Fragrance","Bath Soap"
"Bath, Body & Fragrance","Body Wash"
"Bath, Body & Fragrance","Deo & Fragrance"
"Bath, Body & Fragrance","Talc"
"Hair Care","Shampoo"
"Hair Care","Hair Oil"
"Hair Care","Hair Colour"
"Hair Care","Conditioner"
"Beauty & Skin Care","Cosmetics"
"Beauty & Skin Care","Skin Care"
"Beauty & Skin Care","Face Care"
"Beauty & Skin Care","Cream & Lotion"
"Baby Care","Baby Food"
"Baby Care","Baby Diapers & Wipes"
"Baby Care","Baby Hygiene"
"Home Cleaning & Dishwash","Detergent"
"Home Cleaning & Dishwash","Dishwash"
"Home Cleaning & Dishwash","Floor Cleaner"
"Home Cleaning & Dishwash","Toilet Cleaner"
"Home Cleaning & Dishwash","Home Freshener"
"Personal Care","Mens Grooming"
"Personal Care","Female Hygiene"
"Oral Care and Wellness","Oral Care"
"Oral Care and Wellness","Sexual Wellness"
"Pan Corner","Pan Masala"
"Pan Corner","Mouth Freshener"
"Pan Corner","Tobacco Alternatives"
